damage_id,report_id,report_key,event_order,round_no,source,target,skill,buff,sample_type,damage,base_common,z_b160,off_force,setup_force,current_force,off_intelligence,setup_intelligence,current_intelligence,target_command,target_eff_command,source_hp,skill_multiplier,troop_multiplier,unit_multiplier,source_bucket,target_bucket,source_damage_pct,target_damage_taken_pct,source_country_bonus,target_country_reduction,pierce_pct,grade_multiplier,trigger_multiplier,special_multiplier,total_multiplier,target_has_yijing_static,current_trigger,source_is_npc,target_is_npc,raw_text
894,6,battle_20260620_024521,223,2,马云禄,张飞,红妆缭乱,红妆缭乱,physical_skill,790.0,390.95560774010323,166625.28001883198,293.5,328.17,365.27,109.0,134.44,134.44,266.2,266.2,6164.0,2.398,0.866035402514311,0.85,1.03,1.079,3.0,7.9,0.0,0.0,0.0,1.03,1.0,1.0,2.0206897774572163,False,,False,True,"[张飞]由于[马云禄]【红妆缭乱】的「红妆缭乱」效果,损失了兵力790(14132)"
895,6,battle_20260620_024521,228,2,马超,诸葛亮,普通攻击,,normal_attack,498.0,374.42584278144574,165814.48447576325,304.0,334.4,334.4,163.5,179.85,179.85,282.85,282.85,16000.0,1.0,1.0,1.0,1.3639999999999999,0.995,36.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,1.3300363999999998,False,,True,False,[诸葛亮]损失了兵力498(7666)
896,6,battle_20260620_024521,235,2,张飞,诸葛亮,万人之敌,,physical_skill,597.0,338.25871853390544,149797.87350274003,307.0,337.7,337.7,172.0,189.2,189.2,282.85,282.85,14132.0,1.4,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.5,1.0,1.7649212490000004,False,会心,True,False,"[诸葛亮]由于[张飞]的【万人之敌】的伤害,损失了兵力597(7069)"
898,6,battle_20260620_024521,250,2,张飞,马云禄,万人之敌,,physical_skill,730.0,432.85026431500364,152220.4524516573,307.0,337.7,337.7,172.0,189.2,189.2,191.67,191.67,14132.0,1.4,1.0,1.15,1.014,1.065,1.4,7.0,0.0,0.5,0.0,0.97,1.0,1.0,1.6864954469999995,False,,True,False,"[马云禄]由于[张飞]的【万人之敌】的伤害,损失了兵力730(5592)"
899,6,battle_20260620_024521,258,2,张飞,马云禄,水淹七军,,physical_skill,1450.0,462.95365466778566,153547.83864366444,307.0,337.7,337.7,172.0,189.2,189.2,171.67,171.67,14132.0,2.6,1.0,1.15,1.014,1.065,1.4,7.0,0.0,0.5,0.0,0.97,1.0,1.0,3.132062973,False,,True,False,"[马云禄]由于[张飞]的【水淹七军】的伤害,损失了兵力1450(4142)"
900,6,battle_20260620_024521,268,2,张飞,诸葛亮,水淹七军,,physical_skill,776.0,355.12589081487727,152800.01704091724,307.0,337.7,337.7,172.0,189.2,189.2,270.27,270.27,14132.0,2.6,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,2.185140594,False,,True,False,"[诸葛亮]由于[张飞]的【水淹七军】的伤害,损失了兵力776(6378)"
901,6,battle_20260620_024521,273,2,张飞,诸葛亮,普通攻击,,normal_attack,296.0,352.197017488569,151539.81071480658,307.0,337.7,337.7,172.0,189.2,189.2,270.27,270.27,14132.0,1.0,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,0.84043869,False,,True,False,[诸葛亮]损失了兵力296(6082)
907,6,battle_20260620_024521,301,2,赵云,诸葛亮,普通攻击,,normal_attack,329.0,332.7428916914808,145638.23626444422,296.49,326.14,326.14,206.0,226.6,226.6,277.69,277.69,13944.0,1.0,1.0,1.0,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,0.9887514000000001,False,,True,False,[诸葛亮]损失了兵力329(5353)
909,6,battle_20260620_024521,313,2,赵云,诸葛亮,辕门射戟,,physical_skill,693.0,318.5836197046092,141804.7549667186,296.49,326.14,326.14,206.0,226.6,226.6,285.11,285.11,13944.0,2.2,1.0,1.0,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,2.1752530800000005,False,,True,False,"[诸葛亮]由于[赵云]的【辕门射戟】的伤害,损失了兵力693(4739)"
910,6,battle_20260620_024521,335,3,张飞,诸葛亮,万人之敌,,physical_skill,397.0,337.4088222561821,150184.04087444922,307.0,337.7,337.7,172.0,189.2,189.2,285.11,285.11,13536.0,1.4,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,1.1766141660000002,False,,True,False,"[诸葛亮]由于[张飞]的【万人之敌】的伤害,损失了兵力397(4342)"
914,6,battle_20260620_024521,356,3,张飞,马云禄,万人之敌,,physical_skill,766.0,454.1963047469764,150643.28839542964,307.0,337.7,337.7,172.0,189.2,189.2,171.67,171.67,13536.0,1.4,1.0,1.15,1.014,1.065,1.4,7.0,0.0,0.5,0.0,0.97,1.0,1.0,1.6864954469999995,False,,True,False,"[马云禄]由于[张飞]的【万人之敌】的伤害,损失了兵力766(2138)"
922,6,battle_20260620_024521,433,3,张飞,诸葛亮,普通攻击,,normal_attack,339.0,403.3607734075165,155596.4183419495,307.0,337.7,337.7,172.0,189.2,189.2,225.75,225.75,13536.0,1.0,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,0.84043869,False,,True,False,[诸葛亮]损失了兵力339(3050)
924,6,battle_20260620_024521,447,3,赵云,诸葛亮,普通攻击,,normal_attack,377.0,381.28896707504026,147082.21904919678,296.49,326.14,326.14,206.0,226.6,226.6,225.75,225.75,12325.0,1.0,1.0,1.0,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,0.9887514000000001,False,,True,False,[诸葛亮]损失了兵力377(2673)
925,6,battle_20260620_024521,459,4,马超,诸葛亮,普通攻击,,normal_attack,861.0,431.56713605732904,166477.02273411467,304.0,334.4,334.4,163.5,179.85,179.85,225.75,225.75,15833.0,1.0,1.0,1.0,1.3639999999999999,0.995,36.4,0.0,0.0,0.5,0.0,0.98,1.5,1.0,1.9950545999999996,False,会心,True,False,[诸葛亮]损失了兵力861(1812)
926,6,battle_20260620_024521,461,4,马超,诸葛亮,纵马横枪,纵马横枪-追伤,physical_skill,898.0,937.7354050026169,361731.43247975945,304.0,334.4,334.4,163.5,179.85,179.85,225.75,225.75,15833.0,0.6,1.0,1.0,1.3639999999999999,0.995,36.4,0.0,0.0,0.5,0.0,0.98,1.0,1.2,0.9576262079999998,False,,True,False,"[诸葛亮]由于[马超]【纵马横枪】的「纵马横枪-追伤」效果,损失了兵力898(914)"
927,6,battle_20260620_024521,464,4,张飞,诸葛亮,万人之敌,,physical_skill,477.0,405.40052447405253,156383.25231586577,307.0,337.7,337.7,172.0,189.2,189.2,225.75,225.75,14012.0,1.4,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,1.1766141660000002,False,,True,False,"[诸葛亮]由于[张飞]的【万人之敌】的伤害,损失了兵力477(437)"
930,6,battle_20260620_024521,479,4,张飞,诸葛亮,普通攻击,,normal_attack,335.0,398.60135425226554,153760.47240281143,307.0,337.7,337.7,172.0,189.2,189.2,225.75,225.75,14012.0,1.0,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,0.84043869,False,,True,False,[诸葛亮]损失了兵力335(188)
932,7,battle_20260620_030317,89,1,马云禄,张飞,普通攻击,,normal_attack,247.0,279.78271892812273,119243.39480716591,213.5,244.17,244.17,109.0,134.44,134.44,266.2,266.2,10000.0,1.0,1.0,0.85,1.03,0.979,3.0,-2.1,0.0,0.0,0.0,1.03,1.0,1.0,0.8828279349999999,False,,False,True,[张飞]损失了兵力247(15753)
933,7,battle_20260620_030317,93,1,马云禄,张飞,红妆缭乱,,physical_skill,631.0,270.4365336445616,115260.05063931216,213.5,244.17,244.17,109.0,134.44,134.44,266.2,266.2,10000.0,2.398,1.0,0.85,1.03,1.079,3.0,7.9,0.0,0.0,0.0,1.03,1.0,1.0,2.33326463513,False,,False,True,"[张飞]由于[马云禄]的【红妆缭乱】的伤害,损失了兵力631(15122)"
934,7,battle_20260620_030317,95,1,马云禄,张飞,红妆缭乱,红妆缭乱,physical_skill,634.0,271.7222857855025,115808.03820178116,213.5,244.17,244.17,109.0,134.44,134.44,266.2,266.2,10000.0,2.398,1.0,0.85,1.03,1.079,3.0,7.9,0.0,0.0,0.0,1.03,1.0,1.0,2.33326463513,False,,False,True,"[张飞]由于[马云禄]【红妆缭乱】的「红妆缭乱」效果,损失了兵力634(14488)"
935,7,battle_20260620_030317,98,1,张飞,马云禄,万人之敌,,physical_skill,511.0,334.39364978946645,145685.28140377684,307.0,337.7,337.7,172.0,189.2,189.2,275.67,275.67,14488.0,1.4,1.0,1.15,1.014,0.965,1.4,-3.0,0.0,0.5,0.0,0.97,1.0,1.0,1.528139067,False,,True,False,"[马云禄]由于[张飞]的【万人之敌】的伤害,损失了兵力511(9489)"
936,7,battle_20260620_030317,102,1,张飞,诸葛亮,万人之敌,,physical_skill,322.0,304.24387532937874,149003.43794256324,307.0,337.7,337.7,172.0,189.2,189.2,329.75,329.75,14488.0,1.4,1.0,0.85,1.014,0.895,1.4,-10.0,0.0,0.5,0.0,0.98,1.0,1.0,1.058361486,False,,True,False,"[诸葛亮]由于[张飞]的【万人之敌】的伤害,损失了兵力322(9678)"
939,7,battle_20260620_030317,123,1,张飞,诸葛亮,普通攻击,,normal_attack,254.0,302.2231163584342,150256.26675992273,307.0,337.7,337.7,172.0,189.2,189.2,337.17,337.17,14009.0,1.0,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,0.84043869,False,,True,False,[诸葛亮]损失了兵力254(9633)
940,7,battle_20260620_030317,133,1,赵云,诸葛亮,普通攻击,,normal_attack,280.0,283.18543973743044,142892.54103711003,296.49,326.14,326.14,206.0,226.6,226.6,344.59,344.59,15659.0,1.0,1.0,1.0,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,0.9887514000000001,False,,True,False,[诸葛亮]损失了兵力280(9353)
942,7,battle_20260620_030317,142,1,赵云,诸葛亮,辕门射戟,,physical_skill,620.0,285.0243062292319,143820.4146802081,296.49,326.14,326.14,206.0,226.6,226.6,344.59,344.59,15659.0,2.2,1.0,1.0,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,2.1752530800000005,False,,True,False,"[诸葛亮]由于[赵云]的【辕门射戟】的伤害,损失了兵力620(8838)"
946,7,battle_20260620_030317,173,2,马云禄,赵云,普通攻击,,normal_attack,275.0,264.77413177914445,119399.89472580519,213.5,244.17,251.59,109.0,134.44,134.44,290.95,290.95,9176.0,1.0,1.0,1.0,1.03,0.979,3.0,-2.1,0.0,0.0,0.0,1.03,1.0,1.0,1.0386211,False,,False,True,[赵云]损失了兵力275(15015)
951,7,battle_20260620_030317,194,2,马云禄,赵云,红妆缭乱,红妆缭乱,physical_skill,698.0,255.1322495925615,115051.8879537656,213.5,244.17,251.59,109.0,134.44,134.44,290.95,290.95,8921.0,2.398,0.996655324756006,1.0,1.03,1.079,3.0,7.9,0.0,0.0,0.0,1.03,1.0,1.0,2.735836026667287,False,,False,True,"[赵云]由于[马云禄]【红妆缭乱】的「红妆缭乱」效果,损失了兵力698(13906)"
954,7,battle_20260620_030317,207,2,马云禄,赵云,红妆缭乱,,physical_skill,706.0,259.6121838494787,117072.11430692242,213.5,244.17,259.01,109.0,134.44,134.44,290.95,290.95,8781.0,2.398,0.9906826512502569,1.0,1.03,1.079,3.0,7.9,0.0,0.0,0.0,1.03,1.0,1.0,2.7194409350577082,False,,False,True,"[赵云]由于[马云禄]的【红妆缭乱】的伤害,损失了兵力706(13200)"
955,7,battle_20260620_030317,211,2,马云禄,赵云,红妆缭乱,红妆缭乱,physical_skill,705.0,257.66893259922017,116195.80515561833,213.5,244.17,259.01,109.0,134.44,134.44,290.95,290.95,8923.0,2.398,0.9967402261583891,1.0,1.03,1.079,3.0,7.9,0.0,0.0,0.0,1.03,1.0,1.0,2.7360690824786444,False,,False,True,"[赵云]由于[马云禄]【红妆缭乱】的「红妆缭乱」效果,损失了兵力705(12495)"
956,7,battle_20260620_030317,216,2,马超,马云禄,普通攻击,,normal_attack,534.0,378.97062211221197,165106.13093562739,304.0,334.4,334.4,163.5,179.85,179.85,275.67,275.67,15591.0,1.0,1.0,1.0,1.3639999999999999,1.065,36.4,7.0,0.0,0.5,0.0,0.97,1.0,1.0,1.4090801999999998,False,,True,False,[马云禄]损失了兵力534(8530)
961,7,battle_20260620_030317,243,2,张飞,诸葛亮,普通攻击,,normal_attack,235.0,279.6158753709922,147315.62393920726,307.0,337.7,337.7,172.0,189.2,189.2,366.85,366.85,13506.0,1.0,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,0.84043869,False,,True,False,[诸葛亮]损失了兵力235(7269)
962,7,battle_20260620_030317,258,2,赵云,马云禄,普通攻击,,normal_attack,518.0,329.66982961956774,143627.25467035707,296.49,326.14,326.14,206.0,226.6,226.6,275.67,275.67,12971.0,1.0,1.0,1.0,1.014,1.065,1.4,7.0,0.0,0.5,0.0,0.97,1.5,1.0,1.57126905,False,会心,True,False,[马云禄]损失了兵力518(6307)
963,7,battle_20260620_030317,260,2,赵云,马云禄,辕门射戟,,physical_skill,757.0,328.48375880398305,143110.5191981313,296.49,326.14,326.14,206.0,226.6,226.6,275.67,275.67,12971.0,2.2,1.0,1.0,1.014,1.065,1.4,7.0,0.0,0.5,0.0,0.97,1.0,1.0,2.3045279400000003,False,,True,False,"[马云禄]由于[赵云]的【辕门射戟】的伤害,损失了兵力757(5550)"
967,7,battle_20260620_030317,291,3,马云禄,赵云,红妆缭乱,,physical_skill,593.0,268.2480645941219,120966.46472871926,213.5,244.17,281.27,109.0,134.44,134.44,290.95,290.95,5091.0,2.398,0.8053284157232568,1.0,1.03,1.079,3.0,7.9,0.0,0.0,0.0,1.03,1.0,1.0,2.2106403671439363,False,,False,True,"[赵云]由于[马云禄]的【红妆缭乱】的伤害,损失了兵力593(12219)"
972,7,battle_20260620_030317,314,3,马云禄,张飞,普通攻击,,normal_attack,229.0,295.56280159253026,125968.86603873639,213.5,244.17,288.69,109.0,134.44,134.44,266.2,266.2,4942.0,1.0,0.7962893146862,0.85,1.03,1.079,3.0,7.9,0.0,0.0,0.0,1.03,1.0,1.0,0.7747930347327832,False,,False,True,[张飞]损失了兵力229(12761)
973,7,battle_20260620_030317,323,3,张飞,诸葛亮,万人之敌,,physical_skill,314.0,266.8674312051415,146539.57514905525,307.0,337.7,337.7,172.0,189.2,189.2,389.11,389.11,12761.0,1.4,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,1.1766141660000002,False,,True,False,"[诸葛亮]由于[张飞]的【万人之敌】的伤害,损失了兵力314(6762)"
974,7,battle_20260620_030317,334,3,张飞,马云禄,万人之敌,,physical_skill,833.0,329.282438515432,143458.47998801825,307.0,337.7,337.7,172.0,189.2,189.2,275.67,275.67,12761.0,1.4,1.0,1.15,1.014,1.065,1.4,7.0,0.0,0.5,0.0,0.97,1.5,1.0,2.5297431704999993,False,会心,True,False,"[马云禄]由于[张飞]的【万人之敌】的伤害,损失了兵力833(4155)"
975,7,battle_20260620_030317,341,3,张飞,诸葛亮,水淹七军,,physical_skill,610.0,279.1582389137566,147705.41579165775,307.0,337.7,337.7,172.0,189.2,189.2,369.11,369.11,12761.0,2.6,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,2.185140594,False,,True,False,"[诸葛亮]由于[张飞]的【水淹七军】的伤害,损失了兵力610(6152)"
979,7,battle_20260620_030317,359,3,张飞,马云禄,水淹七军,,physical_skill,1114.0,355.6761181378712,147843.8920263689,307.0,337.7,337.7,172.0,189.2,189.2,255.67,255.67,12761.0,2.6,1.0,1.15,1.014,1.065,1.4,7.0,0.0,0.5,0.0,0.97,1.0,1.0,3.132062973,False,,True,False,"[马云禄]由于[张飞]的【水淹七军】的伤害,损失了兵力1114(3041)"
980,7,battle_20260620_030317,367,3,张飞,诸葛亮,普通攻击,,normal_attack,235.0,279.6158753709922,147947.5558175457,307.0,337.7,337.7,172.0,189.2,189.2,369.11,369.11,12761.0,1.0,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,0.84043869,False,,True,False,[诸葛亮]损失了兵力235(6270)
981,7,battle_20260620_030317,374,3,赵云,诸葛亮,普通攻击,,normal_attack,255.0,257.9010254751599,136458.01158916185,296.49,326.14,326.14,206.0,226.6,226.6,369.11,369.11,11820.0,1.0,1.0,1.0,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,0.9887514000000001,False,,True,False,[诸葛亮]损失了兵力255(6015)
982,7,battle_20260620_030317,379,3,赵云,诸葛亮,辕门射戟,,physical_skill,557.0,256.0621589833583,135485.04893968473,296.49,326.14,326.14,206.0,226.6,226.6,369.11,369.11,11820.0,2.2,1.0,1.0,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,2.1752530800000005,False,,True,False,"[诸葛亮]由于[赵云]的【辕门射戟】的伤害,损失了兵力557(5458)"
983,7,battle_20260620_030317,397,4,马超,马云禄,普通攻击,,normal_attack,843.0,398.8417408746501,165786.5464293658,304.0,334.4,334.4,163.5,179.85,179.85,255.67,255.67,14556.0,1.0,1.0,1.0,1.3639999999999999,1.065,36.4,7.0,0.0,0.5,0.0,0.97,1.5,1.0,2.1136202999999996,False,会心,True,False,[马云禄]损失了兵力843(2198)
984,7,battle_20260620_030317,399,4,马超,马云禄,纵马横枪,纵马横枪-追伤,physical_skill,942.0,928.5016802686844,385950.293437284,304.0,334.4,334.4,163.5,179.85,179.85,255.67,255.67,14556.0,0.6,1.0,1.0,1.3639999999999999,1.065,36.4,7.0,0.0,0.5,0.0,0.97,1.0,1.2,1.0145377439999996,False,,True,False,"[马云禄]由于[马超]【纵马横枪】的「纵马横枪-追伤」效果,损失了兵力942(1256)"
985,7,battle_20260620_030317,406,4,张飞,诸葛亮,万人之敌,,physical_skill,320.0,271.96680887148176,143900.3582419897,307.0,337.7,337.7,172.0,189.2,189.2,369.11,369.11,12761.0,1.4,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,1.1766141660000002,False,,True,False,"[诸葛亮]由于[张飞]的【万人之敌】的伤害,损失了兵力320(5138)"
986,7,battle_20260620_030317,413,4,张飞,马云禄,万人之敌,,physical_skill,600.0,355.7673405328797,147881.8104393021,307.0,337.7,337.7,172.0,189.2,189.2,255.67,255.67,12761.0,1.4,1.0,1.15,1.014,1.065,1.4,7.0,0.0,0.5,0.0,0.97,1.0,1.0,1.6864954469999995,False,,True,False,"[马云禄]由于[张飞]的【万人之敌】的伤害,损失了兵力600(656)"
993,7,battle_20260620_030317,490,4,张飞,诸葛亮,普通攻击,,normal_attack,404.0,320.46755645356274,150539.6346440611,307.0,337.7,337.7,172.0,189.2,189.2,309.75,309.75,12761.0,1.0,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.5,1.0,1.260658035,False,会心,True,False,[诸葛亮]损失了兵力404(3427)
997,7,battle_20260620_030317,510,4,赵云,诸葛亮,普通攻击,,normal_attack,297.0,300.37884143577446,141102.96076445506,296.49,326.14,326.14,206.0,226.6,226.6,309.75,309.75,11520.0,1.0,1.0,1.0,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,0.9887514000000001,False,,True,False,[诸葛亮]损失了兵力297(3284)
998,7,battle_20260620_030317,512,4,赵云,诸葛亮,辕门射戟,,physical_skill,658.0,302.4935379013461,142096.33942915732,296.49,326.14,326.14,206.0,226.6,226.6,309.75,309.75,11520.0,2.2,1.0,1.0,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,2.1752530800000005,False,,True,False,"[诸葛亮]由于[赵云]的【辕门射戟】的伤害,损失了兵力658(2626)"
1000,7,battle_20260620_030317,526,5,张飞,诸葛亮,万人之敌,,physical_skill,372.0,316.16141531309756,148516.82484332757,307.0,337.7,337.7,172.0,189.2,189.2,309.75,309.75,12761.0,1.4,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,1.1766141660000002,False,,True,False,"[诸葛亮]由于[张飞]的【万人之敌】的伤害,损失了兵力372(2014)"
1002,7,battle_20260620_030317,538,5,张飞,诸葛亮,普通攻击,,normal_attack,269.0,320.07093819062516,150353.32321504617,307.0,337.7,337.7,172.0,189.2,189.2,309.75,309.75,12761.0,1.0,1.0,0.85,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,0.84043869,False,,True,False,[诸葛亮]损失了兵力269(1795)
1005,7,battle_20260620_030317,550,5,赵云,诸葛亮,普通攻击,,normal_attack,295.0,298.3560882947928,140152.77247647892,296.49,326.14,326.14,206.0,226.6,226.6,309.75,309.75,11520.0,1.0,1.0,1.0,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,0.9887514000000001,False,,True,False,[诸葛亮]损失了兵力295(1598)
1006,7,battle_20260620_030317,552,5,赵云,诸葛亮,辕门射戟,,physical_skill,653.0,300.1949547865942,141016.58001100263,296.49,326.14,326.14,206.0,226.6,226.6,309.75,309.75,11520.0,2.2,1.0,1.0,1.014,0.995,1.4,0.0,0.0,0.5,0.0,0.98,1.0,1.0,2.1752530800000005,False,,True,False,"[诸葛亮]由于[赵云]的【辕门射戟】的伤害,损失了兵力653(945)"
1007,7,battle_20260620_030317,565,6,马超,诸葛亮,普通攻击,,normal_attack,665.0,333.3242107759859,163245.53222753908,304.0,334.4,334.4,163.5,179.85,179.85,329.75,329.75,14291.0,1.0,1.0,1.0,1.3639999999999999,0.995,36.4,0.0,0.0,0.5,0.0,0.98,1.5,1.0,1.9950545999999996,False,会心,True,False,[诸葛亮]损失了兵力665(280)
1009,8,battle_20260620_032503,88,1,马云禄,赵云,普通攻击,,normal_attack,305.0,293.6585825186875,132425.33778680215,253.5,286.17,286.17,109.0,134.44,134.44,290.95,290.95,10000.0,1.0,1.0,1.0,1.03,0.979,3.0,-2.1,0.0,0.0,0.0,1.03,1.0,1.0,1.0386211,False,,False,True,[赵云]损失了兵力305(15695)
1014,8,battle_20260620_032503,115,1,马云禄,赵云,红妆缭乱,红妆缭乱,physical_skill,834.0,303.823230904326,137009.08597630583,253.5,286.17,301.01,109.0,134.44,134.44,290.95,290.95,9395.0,2.398,1.0,1.0,1.03,1.079,3.0,7.9,0.0,0.0,0.0,1.03,1.0,1.0,2.7450172178,False,,False,True,"[赵云]由于[马云禄]【红妆缭乱】的「红妆缭乱」效果,损失了兵力834(14861)"
1020,8,battle_20260620_032503,151,1,张飞,诸葛亮,普通攻击,,normal_attack,246.0,325.40866665663987,155359.85972187956,307.0,337.7,337.7,172.0,189.2,189.2,317.43,317.43,16000.0,1.0,1.0,0.85,1.014,0.895,1.4,-10.0,0.0,0.5,0.0,0.98,1.0,1.0,0.75597249,False,,True,False,[诸葛亮]损失了兵力246(9022)
